Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Variation
2016-12-11,767.94,776.99,748.6,771.05,29137.94216316993,22283148.417341173,753.2464862808769,0.4049795556944422
2016-12-18,771.05,791.97,770.88,790.72,33149.88871631009,25903229.157895446,774.9001615456178,2.5510667271902046
2016-12-25,790.71,918.5,788.58,896.12,53216.10313733002,45401485.74221962,843.1430439451989,13.3310568982307
2017-01-01,895.94,1000.0,890.0,992.95,45012.63122253999,42898267.69135747,937.957673859646,10.827734000044645
2017-01-08,992.96,1175.0,802.07,923.33,83908.97302483988,83358192.37332034,974.3812053145165,-7.012367064131484
2017-01-15,922.04,923.98,734.64,833.31,63988.63926197014,53379784.27971328,724.524209025392,-9.623226758058221
2017-01-22,833.43,946.25,826.03,931.22,35511.95583352998,31701467.138691347,699.2689178323964,11.733438921085163
2017-01-29,929.45,931.33,880.0,916.54,28743.80167308988,26220574.032996073,830.839905788865,-1.3889934907741224
2017-02-05,916.56,1044.12,914.69,1016.32,38268.9248313701,37770795.11860531,916.1964151865113,10.88417561316227
2017-02-12,1016.32,1079.0,925.0,1010.0,46990.7168294899,47595906.20969836,911.6616830305444,-0.621851385390433
2017-02-19,1009.99,1073.8,985.68,1059.88,34417.74489596993,35479021.38818967,955.481994871629,4.939652867850187
2017-02-26,1059.88,1221.93,1051.36,1184.91,48767.54330141005,55816354.08125115,1105.1816014735498,11.796618485111518
2017-03-05,1184.91,1298.61,1085.71,1278.98,48232.54391633994,59784450.93463422,1097.2518374272342,7.938999586466476
2017-03-12,1278.63,1360.0,956.85,1235.58,79834.24314222972,95515882.32775801,1191.2590520598192,-3.3668848689613244
2017-03-19,1235.27,1277.27,919.44,1019.49,97631.33074610973,109647058.04585347,1145.8987226765291,-17.468245808608643
2017-03-26,1019.1,1120.0,890.05,973.08,88946.33475885974,89414978.74562155,1007.073718190895,-4.51574919046217
2017-04-02,973.97,1119.0,961.1,1113.99,62163.78274260995,65450380.86603402,1046.3985933018078,14.376212819696704
2017-04-09,1113.23,1221.0,1112.24,1210.97,58821.39572899007,68344859.34847564,1161.5580867965725,8.779856813057501
2017-04-16,1210.99,1234.0,0.06,1177.99,39769.5769209799,47576069.695329905,1163.3732214171248,-2.7250431465164864
2017-04-23,1177.63,1258.77,1170.85,1251.98,44678.83512918971,54545522.65230325,1216.7049847286874,6.313528018138117
2017-04-30,1251.91,1394.51,1246.31,1384.55,68327.55810973005,90365913.10975266,1310.4560664637577,10.59501082346174
2017-05-07,1384.55,1665.0,1370.98,1609.57,110057.55925779956,168510428.14941886,1516.9501428262176,16.25221191000686
2017-05-14,1611.1,1889.0,1608.0,1799.99,100672.5232817999,175255336.80978778,1744.2045595175014,11.724287753708653
2017-05-21,1799.98,2102.68,1690.14,2057.0,96721.13164820003,183362031.82107908,1876.2400455284392,14.27904754497272
2017-05-28,2056.99,2806.0,1913.19,2232.78,191491.81255870947,441170388.2287724,2306.154342700112,8.54598223618007
2017-06-04,2237.0,2599.0,2112.31,2521.36,121112.95120785022,285598609.31635046,2377.5239518470876,12.71166741171212
2017-06-11,2521.43,2998.99,2517.02,2998.98,121609.96929613975,340972399.1503552,2801.45975335112,18.93964932597773
2017-06-18,2998.98,2999.99,2050.0,2515.25,182265.21354971037,465325594.24062145,2585.4519342059757,-16.129817471273565
2017-06-25,2515.25,2781.59,2430.05,2505.61,99625.12008851986,262707540.6466445,2630.587139323901,-0.38326210118278
2017-07-02,2505.61,2605.0,2258.34,2516.66,97110.73484857984,239286562.69216204,2453.7572498571008,0.44101037272359733
2017-07-09,2515.37,2636.1,2471.22,2508.99,64276.12187633016,164581387.6071097,2555.6155869490744,-0.25364061748371447
2017-07-16,2508.0,2523.0,1758.2,1911.78,106225.32634730008,234850732.057502,2251.4229783933674,-23.772727272727273
2017-07-23,1911.79,2957.0,1909.58,2754.28,145791.91848283994,362163959.50134844,2472.5856073730206,44.0681246371202
2017-07-30,2755.19,2825.11,2403.0,2723.99,85864.59107769986,227125670.72936875,2644.701373405167,-1.1324082912612297
2017-08-06,2723.99,3335.0,2650.0,3222.22,75079.16442246008,220273661.19921714,2885.754464150871,18.290448937037215
2017-08-13,3222.22,4200.0,3190.0,4060.47,107573.96570777976,389556747.8851978,3544.8845724357543,26.014673113567667
2017-08-20,4060.47,4469.0,3807.14,4050.99,129686.30593427947,542759054.5991668,4187.52392519466,-0.23347050957155252
2017-08-27,4050.99,4453.9,3583.46,4340.11,80364.30459354036,331950967.17399925,4190.902903998243,7.137020827007717
2017-09-03,4343.5,4980.0,4200.0,4626.05,94807.08739542996,439252245.54095995,4588.11709981784,6.505122596984004
2017-09-10,4626.05,4692.0,4139.0,4251.36,102490.81330979978,452988746.9282496,4437.712720056197,-8.099566584883442
2017-09-17,4251.36,4375.37,2975.01,3719.97,161491.80030236027,594190780.0318822,3844.123355031615,-12.49929434345715
2017-09-24,3719.98,4130.0,3509.79,3669.01,77769.12773834028,298012109.0933782,3814.448992856054,-1.37016865682073
2017-10-01,3669.01,4396.99,3669.01,4394.81,55892.458051830006,228987962.4683534,4019.28902681805,19.781903020160755
2017-10-08,4394.81,4612.0,4150.01,4603.49,48219.08113645024,210069008.37178564,4351.00865793528,4.748328141603377
2017-10-15,4603.5,5867.0,4561.0,5693.7,100436.6979659499,526876045.9463525,5184.518655255869,23.681981101335936
2017-10-22,5693.7,6189.1,5102.0,6005.05,83892.29682081046,482425398.9163314,5731.229134650283,5.468324639513855
2017-10-29,6005.05,6290.69,5376.71,6140.01,85241.88957659015,492439037.725744,5729.492495420899,2.247441736538414
2017-11-05,6140.01,7630.0,6028.0,7392.0,128842.50463778939,893357275.4231677,6842.910968995944,20.390683402795755
2017-11-12,7391.95,7898.0,5511.11,5886.35,199259.43197061002,1351017859.844782,6937.594061773077,-20.368103139225774
2017-11-19,5886.35,8098.62,5850.0,8031.82,162956.30778132007,1171906484.8544335,7263.863614098448,36.44822343217783
2017-11-26,8031.83,9596.0,7802.99,9401.11,127799.77188486914,1077656751.5195224,8363.251829574732,17.048169595223015
2017-12-03,9401.11,11891.0,8595.55,11290.0,231322.32824103054,2392344059.1391826,10260.987250195149,20.092201878288833
2017-12-10,11290.0,19697.0,10950.0,15290.01,311404.0783850907,4593458293.779353,13926.26370963311,35.42967227635076
2017-12-17,15290.01,19891.99,15200.0,19378.99,187539.95721083033,3289596800.293407,17387.2694820836,26.742820966107946
2017-12-24,19378.99,19385.0,10400.0,14221.94,290463.3246211199,4494653612.712717,16200.017758968579,-26.61155199522782
2017-12-31,14221.93,16490.0,12500.0,13863.13,157327.58920084935,2269797439.6484447,14419.843855945435,-2.5228643369781816
2018-01-07,13863.14,17178.0,12952.5,16174.22,123872.28635804975,1878854879.2255685,15164.205682724998,16.670682110979186
2018-01-14,16174.22,16275.0,12800.01,13656.23,124382.82127918945,1763269227.9032302,14246.175683113705,-15.567922286206073
2018-01-21,13656.23,14253.0,9005.0,11518.17,214959.81244681994,2472541778.5921574,11966.564818740688,-15.656297528673724
2018-01-28,11518.17,11849.0,9945.0,11536.0,117911.12994861933,1296554028.9756103,11087.732865325692,0.15479889600518076
2018-02-04,11536.0,11570.0,7540.0,8167.91,193599.73279471064,1781052481.7640462,9444.15764554961,-29.196341886269074
2018-02-11,8167.9,9090.0,5873.0,8072.99,299690.3130404316,2274056887.780693,7945.244435804272,-1.1619877814370874
2018-02-18,8073.0,11299.1,8072.99,10380.04,152755.80589611974,1490376010.4407835,9640.287171903248,28.577232751145804
2018-02-25,10380.03,11775.0,9324.75,9597.99,153185.6765476803,1607449937.3804102,10417.14834347618,-7.53408227143853
2018-03-04,9600.0,11494.57,9404.0,11469.9,104794.72430908983,1122071827.649961,10745.690656549936,19.478124999999995
2018-03-11,11469.9,11645.74,8370.0,9533.88,163483.74514292998,1582910942.4696445,9976.816748807116,-16.879135825072584
2018-03-18,9533.88,9890.0,7310.0,8192.0,153203.21827619948,1285778745.7106957,8501.512044641588,-14.074857245948127
2018-03-25,8192.0,9174.0,8108.31,8453.0,111193.48997444956,961435898.9937258,8658.1948902189,3.18603515625
2018-04-01,8453.0,8498.0,6450.0,6816.01,130211.80816401022,958916431.6009539,7470.723987109519,-19.36578729445167
2018-04-08,6816.01,7520.0,6518.88,7020.01,88248.29832063001,614730304.2182641,6950.411776419392,2.9929533554088095
2018-04-15,7020.01,8392.56,6617.0,8355.25,100521.67902868966,758917680.9015108,7440.474705478731,19.020485725803805
2018-04-22,8355.24,9038.87,7822.0,8795.01,81911.06728170998,684861689.065527,8359.645557901495,5.263403564709098
2018-04-29,8795.0,9763.49,8602.43,9389.01,102743.65793793031,941990037.4366356,9155.598539643097,6.753951108584426
2018-05-06,9389.01,9948.12,8831.21,9600.0,70667.01912053023,665137954.0156375,9402.69981464944,2.247201781657489
2018-05-13,9600.0,9619.55,8223.43,8686.1,69455.17560390006,618544718.3229454,8864.659049984959,-9.519791666666663
2018-05-20,8686.1,8880.01,7927.21,8516.86,59104.24892100977,496194957.4741757,8342.73462966676,-1.9484003177490445
2018-05-27,8516.86,8584.39,7229.03,7346.64,55682.164515679855,428832217.29272,7752.09808996359,-13.740040343506882
2018-06-03,7346.64,7777.0,7058.0,7706.37,46836.41982579007,348079179.6606872,7379.762881027937,4.896524125314423
2018-06-10,7706.37,7747.57,6652.0,6770.31,47201.47014184998,346246634.20639646,7425.628655422292,-12.146574846523064
2018-06-17,6770.31,6913.83,6135.0,6447.16,68730.23795469987,449333543.4105643,6561.546571969229,-4.773045842804843
2018-06-24,6447.15,6829.06,5777.0,6149.99,62051.52920991994,394611429.72253287,6423.65625118362,-4.609168392235326
2018-07-01,6150.0,6520.15,5790.01,6349.5,52201.66054227007,320676125.6818446,6168.695735612006,3.2439024390243905
2018-07-08,6349.5,6843.26,6270.01,6701.97,41414.112930469986,272878031.51488525,6578.832818766805,5.551145759508627
2018-07-15,6701.97,6815.82,6075.01,6348.73,40281.403622809754,256292852.46703312,6364.635187665069,-5.270689066050738
2018-07-22,6348.73,7687.0,6330.3,7397.8,70535.20315836003,510233515.85405767,7200.981687096215,16.52409222001882
2018-07-29,7400.0,8488.0,7378.26,8216.34,77795.10946947016,627504090.6000446,8082.663731501977,11.031621621621623
2018-08-05,8216.33,8274.92,6880.0,7030.01,67028.81759453018,506392611.31308585,7549.133325338189,-14.438563202792484
2018-08-12,7030.0,7163.0,6003.0,6316.01,81297.23846893034,526970618.99354476,5927.740320096072,-10.156330014224748
2018-08-19,6316.0,6636.0,5900.0,6489.53,76031.36173409002,480717492.28621566,6349.532527140632,2.747466751108292
2018-08-26,6489.53,6890.65,6227.71,6709.98,55365.18718982998,361478494.4146422,6542.117728134589,3.3970102611437167
2018-09-02,6709.98,7328.99,6654.13,7295.0,54207.420323750004,379521814.4631361,7000.391870339543,8.718654899120422
2018-09-09,7294.99,7402.5,6116.0,6235.01,70202.13797576983,470446204.46920675,6746.684406113603,-14.530246100405888
2018-09-16,6235.02,6580.0,6176.76,6498.0,45341.49616016009,289434446.59969765,6397.641675828212,4.217789197147717
2018-09-23,6498.0,6823.0,6106.37,6696.99,52431.15039272003,339970822.27390003,6501.308766294564,3.062326869806091
2018-09-30,6696.99,6786.73,6320.5,6605.0,44851.26032565003,293610282.37230337,6546.651560569562,-1.3736021705273531
2018-10-07,6605.0,6641.0,6398.96,6570.0,35402.16765630008,231293218.36267257,6537.18381972207,-0.5299015897047691
2018-10-14,6569.99,6681.19,6033.34,6183.49,48903.184220240066,308931107.85991013,6361.665279369209,-5.882809562876047
2018-10-21,6183.52,6810.0,6151.58,6415.88,52436.36660396041,337757970.0786208,6412.693472506526,3.7577302248557403
2018-10-28,6415.87,6471.0,6360.0,6403.62,24583.528565370005,157490020.2450377,6365.842684686395,-0.1909327963315965
2018-11-04,6403.63,6464.15,6201.67,6423.28,30693.005063470075,193817334.5892874,6318.594525184395,0.30685720442935704
2018-11-11,6423.29,6540.0,6271.15,6357.6,29167.466482429903,187164850.97903678,6405.370874683312,-1.0226846366892917
2018-11-18,6357.6,6383.59,5188.0,5560.0,79710.40442117983,451444479.63441634,5814.939511488511,-12.54561469737008
2018-11-25,5560.0,5560.0,3457.81,3936.69,221949.19494554048,970673259.1041129,4407.668342783441,-29.196223021582735
2018-12-02,3936.7,4410.52,3508.0,4103.19,153121.2237988397,609162770.256011,4016.4870144226757,4.229176721619625
2018-12-09,4102.8,4119.98,3212.0,3531.18,135250.68395626958,487801237.73671687,3648.585345764474,-13.932436384907875
2018-12-16,3531.18,3590.71,3128.89,3195.0,77732.8537692603,257748229.07900572,3317.308896238232,-9.520330314512425
2018-12-23,3194.99,4175.0,3184.28,3944.93,136303.4319205097,515881723.9520919,3759.938079480653,23.472373935442683
2018-12-30,3944.92,4239.37,3567.0,3829.0,88004.51973953006,339114882.3691295,3781.5241722206083,-2.9384626304208976
2019-01-06,3829.0,4088.0,3625.0,4040.99,65463.66911351988,249266062.7515429,3800.244955834467,5.53643248890049
2019-01-13,4040.98,4070.0,3968.79,4005.99,8876.737620830001,35693722.844105326,4025.0176163319543,-0.8658790689387287
